Response via Email?,Notes,Parish Name,Address,City,State,Zip,Secretary/receptionist email,Bulletin publishing email,Phone #,Youth Minister Name,Youth Minister E-mail,Contacted (Y/N) contacted by (initials),Have they responded back? (Y/N),Are they putting it in their bulletin,Posting it on their website?,Does the youth minister know about Connect?,Other Notes
FALSE,,Blessed Sacrament Parish,780 Porter Street,Beaumont,TX,77701,bsccatholicNOPE@gmail.com,,409-833-6089,,,,,,,,
FALSE,,Our Lady of the Assumption,4445 Ave A,Beaumont,TX,77705,cmontesNOPE@assumptionbmt.org,,409-835-5343,Paul Montes,pmontesNOPE@assumptionbmt.org,,,,,,
FALSE,,Our Mother of Mercy Parish,3390 Sarah Street,Beaumont,TX,77705,parishNOPE@omomcc.org,,409-842-5533,Margaret Denson,409-842-0112 (no email listed),,,,,,
FALSE,,St. Anne Parish,2715  Calder Avenue P.O. Box 3429,Beaumont,TX,77702,stannechurchNOPE@gtbizclass.com,,409-832-8107,Barbette Finch,Ext. 105 (no email listed),,,,,,
FALSE,,St. Anthony Cathedral Basilica,700 Jefferson St. ,Beaumont,TX,77701,supportNOPE@stanthonycathedral.org,,409-833-6433,Diane Barboza,eduNOPE@stanthonycathedral.org,,,,,,
FALSE,,St. Joseph Parish,1115 Orange Street,Beaumont,TX,77701,ltran0101NOPE@yahoo.com,,409-835-5662,,,,,,,,
FALSE,,St. Jude Thaddeus Parish,6825 Gladys Avenue,Beaumont,TX,77706,stjudeNOPE@stjudebmt.org,,409-866-5088,Michelle Cauley,Ext. 223 (no email listed),,,,,,
FALSE,,St. Pius X Parish,5075 Bigner Road,Beaumont,TX,77708,stpiusxbmtNOPE@yahoo.com,,409-892-3316,Chris Ward,409-238-0013 (no email listed),,,,,,
FALSE,,Holy Spirit Mission,470 Monroe Hwy 326,Kountze,TX,77625,virginiamonk16NOPE@yahoo.com,,409-246-4457,,,,,,,,
FALSE,,Infant Jesus Parish,243 S LHS Drive P.O. Box 8180,Lumberton,TX,77657,infantjesusNOPE@gt.twcbc.com,,409-755-1734,,,,,,,,
FALSE,,St. Mark the Evangelist,905 N 9th Street,Silsbee,TX,77656,mevangelistNOPE@sbcglobal.net,,409-385-4498,,,,,,,,
FALSE,,St. Joseph's,P.O. Box 930 ,Livingston,TX,77351,stjoeNOPE@eastex.net,,936-967-8385,,,,,,,,
FALSE,,St. Michael Parish,P.O. Box 239,Jasper,TX,75951,stmrectoryNOPE@gmail.com,,409-384-2447,,,,,,,,
FALSE,,Our Lady of La Salette Mission,P.O. Box 239,Jasper,TX,75951,stmrectoryNOPE@gmail.com,,409-384-2447,,,,,,,,
FALSE,,St. Raymond Parish,P.O. Box 239,Jasper,TX,75951,stmrectoryNOPE@gmail.com,,409-698-9456,,,,,,,,
FALSE,,Toledo Village Station,P.O. Box 239,Jasper,TX,75951,stmrectoryNOPE@gmail.com,,409-384-2447,,,,,,,,
FALSE,,Our Lady of the Pines Parish,1601 Pine Street P.O. Box 2029,Woodville,TX,75979,olopccNOPE@sbcglobal.net,,409-283-5367,Annette Faircloth,ajfairclothNOPE@gmail.com,,,,,,
FALSE,,Immaculate Conception Parish,6250 Washington Blvd P.O. Box 967,Groves,TX,77619,icc-grovesNOPE@gtbizclass.com,,409-962-0255,,,,,,,,
